Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,298.57861328125,298.5970126532111,296.4279903485333,297.35626110222984,59151200
2020-01-03,296.3177185058594,297.44818606290164,295.1137376014159,295.16887962392286,77709700
2020-01-06,297.4482421875,297.5309552368674,294.4336614665753,294.5531452204936,55653900
2020-01-07,296.61187744140625,297.356322917187,296.1615134520832,296.8783879120139,40496400
2020-01-08,298.19268798828125,299.4150404495262,296.55674223194177,296.80488138030074,68296000
2020-01-09,300.2145690917969,300.2881104865505,299.1760142615381,299.76423322827105,48473300
2020-01-10,299.3507080078125,300.95908279752456,298.8820007130497,300.8028563818804,53029300
2020-01-13,301.4094543457031,301.41862598649175,299.54374066491187,299.97570531257446,47086800
2020-01-14,300.9498291015625,302.02512653242854,300.3891811714258,300.96820042550263,62832800
2020-01-15,301.6299743652344,302.3927911075288,300.7752448949001,300.8579579357879,72056600
2020-01-16,304.13909912109375,304.13909912109375,302.788063134057,303.01783096826165,54050300
2020-01-17,305.08563232421875,305.2970007054528,304.07464860585617,304.8558645722191,95846000
2020-01-21,304.48828125,305.2970684040358,304.0471450189459,304.12065837484573,77742400
2020-01-22,304.5250549316406,306.004774181987,304.36882853088946,305.3522134207883,48914900
2020-01-23,304.87432861328125,305.2879219117907,302.7512761829696,303.87254427563965,51963000
2020-01-24,302.1630859375,305.6188032836752,300.8671919326843,305.53609022564433,87578400
2020-01-27,297.31951904296875,298.80840982842204,296.54750263746797,296.8875544776239,84062500
2020-01-28,300.4351806640625,301.3174811116688,297.4114287374613,298.7532647585038,63834000
2020-01-29,300.1870422363281,302.0343843936649,299.9848454427498,301.80461658495443,53888900
2020-01-30,301.16119384765625,301.3725902856109,297.35625429923044,298.10987124117054,75491800
2020-01-31,295.6927185058594,300.6924669149262,294.7736475196018,300.53621250622126,113845600
2020-02-03,297.8893127441406,299.7642255930663,297.06215438508684,297.18163811265015,69083000
2020-02-04,302.42950439453125,303.3026330734131,301.19795260651244,301.51963306967,62573200
2020-02-05,305.9220275878906,306.13342406208886,303.90928745455665,305.37977894311496,65951100
2020-02-06,306.95135498046875,307.1443520448146,305.8668298406547,306.88701327641274,50359700
2020-02-07,305.31549072265625,306.9606081209682,304.764042344571,305.88531042914013,64139400
2020-02-10,307.5947265625,307.659068274648,304.387177215837,304.42394791532524,42070000
2020-02-11,308.1278381347656,309.7453844721348,307.5947610997214,308.95499665525864,54864500
2020-02-12,310.1130676269531,310.32443608709224,309.20316791684513,309.5707908477161,43992700
2020-02-13,309.7821350097656,310.7563482334788,308.40352821607786,308.6792383556846,54501900
2020-02-14,310.2784423828125,310.3979261263313,308.9917483138159,310.19572934064416,64582200
2020-02-18,309.4789123535156,310.34284168468497,308.08190592124237,309.27671553030933,57226200
2020-02-19,310.95849609375,311.6385996963271,310.1681084526818,310.45301823472477,48814700
2020-02-20,309.6810607910156,311.23429340663733,306.6756799316654,310.40710686505196,74163400
2020-02-21,306.49188232421875,308.633305938221,305.6646957831488,308.32082508734413,113788200
2020-02-24,296.326904296875,306.56534134772437,295.242379126836,296.9886365837535,161088400
2020-02-25,287.34759521484375,298.3396785364402,286.4652947464969,297.7239165603431,218913200
2020-02-26,286.2906799316406,292.36572712469683,285.5554341878652,288.7537840258982,194773800
2020-02-27,273.43292236328125,286.34586342508396,273.43292236328125,280.73952266151736,284353500
2020-02-28,272.2840881347656,273.7821789284672,262.4316421043618,265.3359109468582,384975800
2020-03-02,284.07574462890625,284.1400863513578,270.6297270280447,274.0762444015603,238703600
2020-03-03,275.9418640136719,288.44123503973634,273.48796018647676,284.4524703240328,300139100
2020-03-04,287.5406188964844,287.7612150698398,278.7818709728644,281.34608762342725,176613400
2020-03-05,277.9822998046875,283.50592733790194,275.73059193007856,280.29837745012924,186366800
2020-03-06,273.38690185546875,274.6000825290424,266.74203525960047,269.4257073641197,228667200
2020-03-09,252.03684997558594,261.19078926579294,251.31997571878335,253.0202346274798,309417300
2020-03-10,265.0784912109375,265.17037587997726,251.36593846098174,261.6044036769729,276444100
2020-03-11,252.15628051757812,259.1228536976484,248.9579317126334,257.9832147485595,255316300
2020-03-12,228.03076171875,245.07953571162304,227.6355538003914,235.28223310787604,392220700
2020-03-13,247.52427673339844,249.50947400677248,228.40759185509734,241.79845272665995,329566100
2020-03-16,220.43917846679688,236.1093273361233,218.1506866955938,221.66153051975272,297240000
2020-03-17,232.3411865234375,235.43846579518808,217.88420144738603,225.20918551626332,262070500
2020-03-18,220.57711791992188,228.2697404197262,209.56664737711543,217.1306004524231,327597100
2020-03-19,221.0458221435547,227.35985119172935,213.4267276221181,219.88779741268638,289322000
2020-03-20,211.52000427246094,226.0065341476156,211.24265879194007,224.2130493608081,347158800
2020-03-23,206.11183166503906,212.33354848714328,201.77603885524522,210.956088874792,326025200
2020-03-24,224.78623962402344,225.6645027413418,216.1424011076223,216.71557147355358,235494500
2020-03-25,228.15130615234375,236.9893039255768,221.64300473319872,226.3763148562133,299430300
2020-03-26,241.47303771972656,242.95217610777343,230.24065072917423,230.67515538917098,257632800
2020-03-27,234.28062438964844,241.11249907892116,232.08962154904017,234.14195868064007,224341200
2020-03-30,241.88902282714844,242.61011263005946,234.38228584998356,236.38839610745427,171369500
2020-03-31,238.28358459472656,243.44214600085613,236.86913806298492,240.88135875947594,194881100
2020-04-01,227.55966186523438,238.20038498234587,225.47959177832593,229.25145389535197,189554600
2020-04-02,232.81068420410156,233.5964799738239,226.11747600710618,226.67216699098591,177660400
2020-04-03,229.44558715820312,234.18815120543644,226.69989366837092,231.82148196719587,135561200
2020-04-06,244.8566131591797,246.83500464112404,229.427126029286,238.3668040926241,188061200
2020-04-07,245.106201171875,254.25850325350686,244.88433607330947,253.50042654973578,201427200
2020-04-08,253.33404541015625,255.15526345535875,245.21715083889097,247.72247179426137,153774500
2020-04-09,257.1891174316406,259.9625441693819,254.66528894370404,256.6159188737926,189999200
2020-04-13,254.8409423828125,256.55122785248756,250.9119211583387,256.2091764011037,114839100
2020-04-14,262.3569030761719,263.38305731179486,254.7022472679955,259.75912924719097,134143400
2020-04-15,256.7823181152344,262.49556980528627,254.65600758555064,256.60666551717674,121775000
2020-04-16,258.0211486816406,258.880904228839,254.93340352632384,258.06736117708954,131798300
2020-04-17,264.99163818359375,265.6017671111303,261.07184336230705,263.8267901691607,146684800
2020-04-20,260.32318115234375,265.1304674102727,260.1013159509144,261.2661364711857,100109300
2020-04-21,252.41880798339844,257.04118565853446,251.4758248815079,255.83012496466915,126385700
2020-04-22,258.0211486816406,259.77764670005047,255.99654483645955,257.32779197336646,92951600
2020-04-23,258.0026550292969,262.49562141188665,257.6975904748147,259.3061690966915,104709700
2020-04-24,261.5988464355469,262.27372374086156,257.4664396155413,259.5280302401497,85063200
2020-04-27,265.3707275390625,266.4985889754129,263.12425845106605,263.586496282148,77896600
2020-04-28,264.1503601074219,269.3921197054095,263.845267433317,269.0408145474704,105270000
2020-04-29,271.06549072265625,272.60937743352775,268.4769702518769,269.5123784401886,118745600
2020-04-30,268.5415954589844,271.16710192700333,266.7943235988351,269.67868202249684,122901700
2020-05-01,261.4324645996094,268.70808310699516,260.25836252346903,263.76213297084365,125180000
2020-05-04,262.153564453125,262.45862900123217,258.04889034750136,259.5372825883171,80873200
2020-05-05,264.57574462890625,267.40463846070014,262.2830343741867,264.9917700447199,79569900
2020-05-06,262.7821350097656,266.67416858210794,262.3476304390231,266.28590470946597,73632600
2020-05-07,265.9530944824219,267.8944985976931,265.44464426276255,266.01781453590644,75250400
2020-05-08,270.3536376953125,270.8251292636539,267.9684749277972,269.1055900344271,76452400
2020-05-11,270.4091491699219,271.7958627554087,267.9870272879799,268.4122782212897,79514200
2020-05-12,265.01934814453125,272.0176047629231,264.880654278559,271.6016078032484,95870800
2020-05-13,260.3323974609375,265.50021392719844,257.89176774551385,264.4555517329192,144721100
2020-05-14,263.4477844238281,263.577196323226,252.3725577747012,257.8824520691451,121977900
2020-05-15,264.65887451171875,264.7050870067685,260.0919627756472,261.0441715182751,111146300
2020-05-18,272.72039794921875,274.33823081840904,270.5941146062466,270.91765860987164,119703800
2020-05-19,269.9191589355469,273.83892669652425,269.90067957898384,272.1194155151454,95189300
2020-05-20,274.5045166015625,275.37352587023634,273.24724340342016,273.4783622894982,85861700
2020-05-21,272.60931396484375,275.1886082635178,271.5091859677041,274.37506538703633,78293900
2020-05-22,273.1270446777344,273.3026972802053,271.0747079339589,272.32275550471144,63958200
2020-05-26,276.4921569824219,279.3672908413051,273.1455597403655,279.1269181511827,88951400
2020-05-27,280.6060791015625,280.64306602531383,274.4490681901454,279.3025651137045,104817400
2020-05-28,280.08837890625,283.66609503121555,279.413501549018,281.6414911722765,90405200
2020-05-29,281.3363952636719,281.9280449221516,276.85268337707157,279.6168561365591,119090800
2020-06-01,282.47357177734375,283.08372919599987,280.17163604409416,280.68934023942126,55758300
2020-06-02,284.8124084472656,284.8586491513497,282.0574894281056,283.3979620169692,74267200
2020-06-03,288.602783203125,289.5642457172561,286.53196690754055,286.80929829971484,92567600
2020-06-04,287.84466552734375,289.36081882304234,285.73686260819716,287.6135466624691,75794400
2020-06-05,295.22198486328125,297.0062156989103,293.2066351666821,293.27135521881405,150524700
2020-06-08,298.79052734375,298.98465932156773,295.49014265706535,296.03557987943867,73641200
2020-06-09,296.5625305175781,298.86446569386305,295.24050899064486,296.1095182967034,77479200
2020-06-10,294.9078369140625,298.0418240208891,294.18674677989935,297.145081193925,95000800
2020-06-11,277.9066162109375,288.5750732883493,277.3519533819497,287.93718282225507,209243600
2020-06-12,281.2347412109375,285.73693329848106,276.04844614220104,284.96037710591537,194678900
2020-06-15,283.8602600097656,284.99737530784336,274.3289175442653,275.5122453434782,135782700
2020-06-16,289.3238220214844,291.8014376099941,284.4333673209817,291.6535181559971,137627500
2020-06-17,288.12200927734375,290.6458372998284,287.3824120226914,290.3499983979674,83398900
2020-06-18,288.23297119140625,288.713688296366,286.13442195622696,286.5966597077183,80828700
2020-06-19,286.5858459472656,291.91567966607613,284.6266032887639,291.7206933521213,135549600
2020-06-22,288.4241943359375,288.8234612634763,284.8307353142872,285.98212025394355,74649400
2020-06-23,289.7520751953125,292.0270187909269,289.3435136651866,291.0891805053778,68471200
2020-06-24,282.3608093261719,288.3220714826741,280.51301669933076,287.69993482578695,132813500
2020-06-25,285.3879699707031,285.65725563286617,279.7517017632359,281.78521514723536,89468000
2020-06-26,278.6095275878906,284.49651961908336,278.02456885624247,284.2829443654656,127961000
