Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-18 14:30:00-05:00,677.1599731445312,677.2999877929688,676.3599853515625,676.4000244140625,0,0.0,0.0,0.0
2025-12-18 14:35:00-05:00,676.3699951171875,676.780029296875,676.280029296875,676.6900024414062,950640,0.0,0.0,0.0
2025-12-18 14:40:00-05:00,676.6699829101562,676.989990234375,676.1900024414062,676.3200073242188,778943,0.0,0.0,0.0
2025-12-18 14:45:00-05:00,676.3150024414062,676.9600219726562,676.0800170898438,676.9600219726562,890716,0.0,0.0,0.0
2025-12-18 14:50:00-05:00,676.969970703125,677.3099975585938,676.1900024414062,676.3250122070312,1057055,0.0,0.0,0.0
2025-12-18 14:55:00-05:00,676.3300170898438,676.3400268554688,675.3200073242188,675.719970703125,1287568,0.0,0.0,0.0
2025-12-18 15:00:00-05:00,675.7100219726562,676.7999877929688,675.4500122070312,676.7899780273438,1207566,0.0,0.0,0.0
2025-12-18 15:05:00-05:00,676.7999877929688,677.1199951171875,676.4500122070312,676.6799926757812,1273461,0.0,0.0,0.0
2025-12-18 15:10:00-05:00,676.6900024414062,677.4199829101562,676.6300048828125,677.3699951171875,981353,0.0,0.0,0.0
2025-12-18 15:15:00-05:00,677.3699951171875,677.6298828125,676.8699951171875,677.5700073242188,1532001,0.0,0.0,0.0
2025-12-18 15:20:00-05:00,677.5756225585938,677.7899780273438,677.22998046875,677.72998046875,1041785,0.0,0.0,0.0
2025-12-18 15:25:00-05:00,677.72998046875,677.8499755859375,677.2999877929688,677.6300048828125,1140109,0.0,0.0,0.0
2025-12-18 15:30:00-05:00,677.6199951171875,678.219970703125,677.3900146484375,678.1900024414062,1222697,0.0,0.0,0.0
2025-12-18 15:35:00-05:00,678.2000122070312,678.3900146484375,677.6300048828125,677.77001953125,1261902,0.0,0.0,0.0
2025-12-18 15:40:00-05:00,677.760009765625,678.260009765625,677.52001953125,678.1699829101562,1789843,0.0,0.0,0.0
2025-12-18 15:45:00-05:00,678.1500244140625,678.5499877929688,677.9149780273438,678.3300170898438,3315231,0.0,0.0,0.0
2025-12-18 15:50:00-05:00,678.3300170898438,678.52001953125,677.1649780273438,677.3300170898438,3045642,0.0,0.0,0.0
